land,population,christians,muslims,unaf,hindu,buddhist,folk,other,jewish
Uruguay,3370000,57.9, 0.1,40.7, 0.1, 0.1,0.8,0.3,0.3
Uzbekistan,27440000,2.3,96.7,0.8, 0.1, 0.1, 0.1, 0.1, 0.1
Vanuatu,240000,93.3, 0.1,1.2, 0.1, 0.1,4.1,1.4, 0.1
Vatican City, 10000,>99.0, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1
Venezuela,28980000,89.3,0.3,10.0, 0.1, 0.1,0.2, 0.1, 0.1
Vietnam,87850000,8.2,0.2,29.6, 0.1,16.4,45.3,0.4, 0.1
Wallis and Futuna,10000,97.4, 0.1,0.6, 0.1, 0.1,1.2,0.8, 0.1
Western Sahara,530000,0.2,99.4,0.4, 0.1, 0.1, 0.1, 0.1, 0.1
Yemen,24050000,0.2,99.1,0.1,0.6, 0.1, 0.1, 0.1, 0.1
Zambia,13090000,97.6,0.5,0.5,0.1, 0.1,0.3,0.9, 0.1
